province,mcv1,mcv1_se,design_effect,weighted_n,unweighted_n,mcv1_ci_low,mcv1_ci_high,mcv1_pct,source
Kabul,0.669,0.028,0.599,720,173,0.614,0.725,66.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Kapisa,0.322,0.045,1.563,80,168,0.231,0.412,32.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Parwan,0.494,0.055,2.432,147,203,0.385,0.604,49.4,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Wardak,0.572,0.043,1.257,99,171,0.487,0.657,57.199999999999996,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Logar,0.417,0.034,1.044,85,218,0.348,0.485,41.699999999999996,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Nangarhar,0.562,0.051,2.02,366,193,0.46,0.663,56.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Laghman,0.48,0.051,2.209,131,209,0.377,0.583,48,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Panjshir,0.612,0.046,0.959,11,108,0.52,0.704,61.199999999999996,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Baghlan,0.439,0.051,1.513,163,145,0.337,0.541,43.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Bamyan,0.887,0.053,3.458,50,126,0.782,0.993,88.7,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Ghazni,0.393,0.054,1.903,193,159,0.286,0.5,39.300000000000004,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Paktika,0.163,0.026,1.048,100,217,0.112,0.215,16.3,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Paktia,0.379,0.037,1.18,103,204,0.305,0.453,37.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Khost,0.422,0.038,1.588,193,271,0.347,0.498,42.199999999999996,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Kunar,0.524,0.06,2.623,87,181,0.403,0.644,52.400000000000006,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Nuristan,0.207,0.039,1.728,27,191,0.13,0.284,20.7,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Badakhshan,0.489,0.044,1.152,210,149,0.4,0.577,48.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Takhar,0.693,0.044,1.495,232,169,0.606,0.78,69.3,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Kunduz,0.433,0.044,1.328,225,171,0.346,0.521,43.3,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Samangan,0.629,0.066,2.164,69,118,0.498,0.761,62.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Balkh,0.612,0.043,1.141,346,150,0.527,0.698,61.199999999999996,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Sar-e Pul,0.575,0.058,2.879,140,210,0.459,0.691,57.49999999999999,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Ghor,0.271,0.041,1.192,133,144,0.19,0.352,27.1,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Daykundi,0.735,0.055,2.402,154,154,0.624,0.845,73.5,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Uruzgan,0.086,0.035,1.9,63,126,0.017,0.155,8.6,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Zabul,0.286,0.04,1.737,95,227,0.207,0.365,28.599999999999998,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Kandahar,0.324,0.022,0.541,299,245,0.28,0.368,32.4,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Jowzjan,0.391,0.042,1.667,163,221,0.306,0.476,39.1,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Faryab,0.557,0.053,2.156,294,190,0.451,0.663,55.7,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Helmand,0.295,0.043,2.082,514,240,0.21,0.38,29.5,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Badghis,0.279,0.039,1.125,139,153,0.202,0.356,27.900000000000002,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Herat,0.805,0.051,3.2,554,193,0.702,0.907,80.5,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Farah,0.44,0.077,4.11,121,173,0.287,0.594,44,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
Nimroz,0.592,0.053,2.413,78,207,0.486,0.699,59.199999999999996,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10"
