province,population_total_2026,population_u5,source
Kabul,5995339.056,1005320.488,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Kapisa,639963.0513,94540.30448,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Parwan,968403.9841,144781.6596,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Wardak,872010.359,126770.6025,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Logar,739711.557,109088.8902,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Nangarhar,3888348.785,603843.9525,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Laghman,1034728.302,164086.5556,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Panjshir,250302.4839,36687.53036,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Baghlan,1963081.357,344540.7933,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Bamyan,515908.7672,69941.8758,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Ghazni,1533902.716,257267.8713,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Paktika,560510.3037,93550.08374,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Paktia,1164502.475,195346.93,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Khost,1353165.367,227388.1724,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Kunar,1358622.363,220052.3782,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Nuristan,307892.4298,50179.11853,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Badakhshan,1679524.099,294273.6387,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Takhar,1859588.799,326624.5277,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Kunduz,1436179.634,252184.4855,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Samangan,662518.7708,102739.4947,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Balkh,2437336.592,354606.1478,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Sar-e Pul,868072.0522,135844.3975,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Ghor,1075240.835,199188.7006,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Daykundi,820910.5584,110928.709,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Uruzgan,644803.6794,131696.9245,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Zabul,539247.4479,110316.1722,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Kandahar,2222609.548,432706.4034,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Jowzjan,738467.9249,111879.0681,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Faryab,1825800.581,283604.9726,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Helmand,2862519.914,581630.5897,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Badghis,834593.7943,153212.1881,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Herat,3629767.697,584035.0975,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Farah,878882.4187,155445.9306,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
Nimroz,433174.8048,81730.8721,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis
