province,incidence_category,published_incidence_range_per_10000,exact_value_if_stated,source
Badakhshan,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Badghis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Baghlan,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Balkh,5,13.7-25.2,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Bamyan,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Daykundi,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Farah,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Faryab,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Ghazni,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Ghor,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Helmand,5,13.7-25.2,25.2,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Herat,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Jowzjan,5,13.7-25.2,19.1,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Kabul,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Kandahar,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Kapisa,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Khost,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Kunar,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Kunduz,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Laghman,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Logar,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Nangarhar,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Nimroz,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Nuristan,5,13.7-25.2,21.6,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Paktia,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Paktika,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Panjshir,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Parwan,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Samangan,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Sar-e Pul,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Takhar,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Uruzgan,5,13.7-25.2,20.7,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Wardak,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
Zabul,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3"
