province,peak_infectious,peak_day,incident_infections_after_introduction,attack_rate_total_u5,attack_rate_initial_susceptible
Kabul,62227.44998006645,58.0,378499.7565687412,0.3764966108685743,0.9964735517784694
Kapisa,13668.103400644735,32.5,66226.45540188467,0.7005102825313501,0.9999726778508051
Parwan,14960.82430863483,39.25,78241.46114553859,0.5404100309507612,0.999698353286259
Wardak,10741.694987703015,42.5,59279.37596242081,0.467611376718201,0.9991010552329829
Logar,13283.42736484299,35.5,66775.25685708609,0.6121178493489349,0.9998971156701738
Nangarhar,52606.05756272734,47.5,288012.6617236167,0.47696538241577685,0.999218664220122
Laghman,17503.965417640415,39.0,90814.78633771362,0.5534565949394188,0.9997519649066507
Panjshir,2761.293326720077,40.5,15780.534862524768,0.43013347335393576,0.998423283805328
Baghlan,40136.84673103806,39.75,203845.60521486198,0.5916443253712738,0.9998601175860833
Bamyan,1012.111656821262,89.5,11116.755809589273,0.15894277473166188,0.9078517038076233
Ghazni,32809.182651102004,37.25,163226.02370818122,0.6344594172734589,0.9999264061820322
Paktika,17092.554986208714,29.25,79367.59062614548,0.848396788684109,0.9999970275145712
Paktia,25569.344134867122,36.0,126484.34095024725,0.6474856858525867,0.9999394694304854
Khost,27415.048676409744,37.75,138131.16947949413,0.6074685768462341,0.9998896766092352
Kunar,21162.316164457923,42.0,112763.68186712806,0.5124401871478073,0.9995410966587116
Nuristan,8639.431057365571,28.5,40517.913910727664,0.8074656370558542,0.9999945083589304
Badakhshan,30760.253188491635,41.25,160400.68535949485,0.5450732388673687,0.9997187170720727
Takhar,18397.179167338876,55.75,115541.25580214728,0.35374335361694054,0.995039239538716
Kunduz,29741.97123327321,38.5,150611.93791198457,0.5972291975589615,0.9998713605997792
Samangan,7321.122512848446,45.5,42553.55550861216,0.41418887286596867,0.9979967393267226
Balkh,26690.15513605137,49.0,152536.62579901272,0.43015787161435315,0.9984232828846764
Sar-e Pul,11415.174679302438,43.0,63141.35022245391,0.4648064357785084,0.9990624185711087
Ghor,31231.265361222166,33.25,148984.1742626752,0.7479549483173604,0.9999865885197613
Daykundi,5179.647233079896,55.5,34784.31562097848,0.31357360898321174,0.990938669919446
Uruzgan,26489.845296292013,28.75,121162.68145691136,0.9200114726818193,0.9999989846588715
Zabul,16902.091855576844,32.0,80971.93794119809,0.7339987993274307,0.9999834664336166
Kandahar,62349.64017516907,36.5,302313.81606824085,0.698658059351106,0.9999719046230058
Jowzjan,14320.701264780755,34.75,71190.38727047009,0.636315518885432,0.999928432308579
Faryab,25043.605800581772,44.5,136594.185359869,0.4816353680530248,0.9992715440480723
Helmand,87849.09739386712,36.5,422051.3256179737,0.7256346779072678,0.9999812542952982
Badghis,23730.61429559767,32.75,113455.52034503609,0.7405123688396438,0.999985004844715
Herat,18190.49808616836,77.0,143073.69582110993,0.24497448258425927,0.9746415412401643
Farah,18069.964361967006,37.5,91823.42883002205,0.5907097630384803,0.9998581503571248
Nimroz,6538.41184443078,42.25,36688.402046721014,0.4488928247557635,0.9988097309345132
