province,day,S,E,I,R
Uruzgan,0.0,121162.80447849,0.0,1.0,10533.120021509996
Uruzgan,0.25,121161.96463894825,0.8267472178107227,0.9522349959052689,10533.180878838022
Uruzgan,0.5,121161.15409586244,1.5992744363219478,0.9315160454887644,10533.23961365575
Uruzgan,0.75,121160.35084452995,2.3409078195344764,0.9349271756227974,10533.297820474892
Uruzgan,1.0,121159.5350243571,3.0721467582754163,0.9603904069286432,10533.356938477707
Uruzgan,1.25,121158.6882519893,3.8114071285527436,1.0065410452360202,10533.418299836934
Uruzgan,1.5,121157.79304965753,4.5756479820477285,1.0726312206120179,10533.483171139822
Uruzgan,1.75,121156.83234612741,5.380907556678469,1.1584567615838148,10533.55278955435
Uruzgan,2.0,121155.78903237586,6.2427689255716174,1.2643036658833555,10533.628395032698
Uruzgan,2.25,121154.64555581627,7.176773432785354,1.3909110264514248,10533.71125972451
Uruzgan,2.5,121153.38354074566,8.198795601377475,1.5394481595000276,10533.802715493486
Uruzgan,2.75,121151.98342274719,9.325392806700162,1.711504019286596,10533.904180426845
Uruzgan,3.0,121150.42408760289,10.574139767899512,1.909087606244392,10534.017185022976
Uruzgan,3.25,121148.68250567063,11.963957243564202,2.1346383718485518,10534.143398713964
Uruzgan,3.5,121146.73335323528,13.515443453092038,2.3910459718777255,10534.284657339771
Uruzgan,3.75,121144.54861310011,15.251215765050633,2.6816789983281035,10534.442992136528
Uruzgan,4.0,121142.09714673048,17.196269899553723,3.010422571388749,10534.620660798591
Uruzgan,4.25,121139.34423030097,19.378363628352744,3.3817248988212136,10534.82018117188
Uruzgan,4.5,121136.25104693534,21.828431826903447,3.8006530963780043,10535.044368141387
Uruzgan,4.75,121132.77412697524,24.58103994550585,4.272958769573592,10535.296374309693
Uruzgan,5.0,121128.86472767283,27.674883190766582,4.80515403973545,10535.579735096673
Uruzgan,5.25,121124.46814305795,31.15333912033759,5.4045988826450495,10535.898418939074
Uruzgan,5.5,121119.52293392729,35.06508190645711,6.079600837231155,10536.25688332903
Uruzgan,5.75,121113.96006687252,39.46476727117269,6.8395283481165805,10536.660137508206
Uruzgan,6.0,121107.70195047063,44.413797665412524,7.694939168807688,10537.113812695168
