metric,value
direct_national_mics_mcv1_pct,51.2
direct_national_r_cov,7.8576
u5_weighted_provincial_mcv1_pct,50.56681539402753
u5_weighted_r_cov,7.945929252533159
national_u5_population,8146035.52681
routine_mcv1_unprotected_3p5yr_n,3020631.692617184
sia_preferential_n,4056042.0399888135
sia_preferential_pct_u5,49.79160754504057
sia_random_n,7530647.856211407
sia_random_pct_u5,92.44555626386301
one_dose_required_pct,100.35842293906809
two_dose_required_pct,96.21993127147766
week14_kendall_tau_b,0.33104795088367867
week14_kendall_p,0.011157716431098409
week14_spearman_rho,0.4302580494917712
week14_spearman_p,0.011088135566639564
monte_carlo_u5_weighted_mcv1_ci_low_pct,48.728716802622365
monte_carlo_u5_weighted_mcv1_ci_high_pct,52.39895838488104
monte_carlo_r_cov_ci_low,7.690345305309093
monte_carlo_r_cov_ci_high,8.202344006034181
monte_carlo_gap_ci_low_n,2923471.88328927
monte_carlo_gap_ci_high_n,3118107.3315593363
monte_carlo_sia_pref_ci_low_n,3906795.0210519265
monte_carlo_sia_pref_ci_high_n,4205774.204262473
monte_carlo_sia_rand_ci_low_n,7412834.064133138
monte_carlo_sia_rand_ci_high_n,7586402.775584033
