province,mcv1,mcv1_se,design_effect,weighted_n,unweighted_n,mcv1_ci_low,mcv1_ci_high,mcv1_pct,source_x,population_total_2026,population_u5,source_y,incidence_category,published_incidence_range_per_10000,exact_value_if_stated,source,immune_fraction_mcv1,r_cov,r_cov_r0_12,r_cov_r0_18,sia_preferential,sia_random,sia_preferential_n,sia_random_n,sia_preferential_unattainable_one_pass,sia_random_unattainable_one_pass,mcv1_age_eligibility_proxy,r_cov_age_eligibility_proxy,annual_routine_mcv1_unprotected,routine_mcv1_unprotected_3p5yr,r_cov_ci_low,r_cov_ci_high,sia_pref_ci_low,sia_pref_ci_high,sia_rand_ci_low,sia_rand_ci_high,routine_gap_ci_low,routine_gap_ci_high,peak_infectious,peak_day,incident_infections_after_introduction,attack_rate_total_u5,attack_rate_initial_susceptible
Kabul,0.669,0.028,0.599,720,173,0.614,0.725,66.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",5995339.056,1005320.488,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.6221700000000001,5.667449999999999,4.533959999999999,6.800939999999998,0.3345842293906809,0.8855417235017892,336364.3807681433,890253.2376151797,False,False,0.56865,7.067332499999999,75968.04799620798,265888.16798672796,4.8862499999999995,6.4347,0.278584229390681,0.38958422939068105,0.8552086857733876,0.9081640854834281,229238.2042762,301883.66805956804,62227.44998006645,58.0,378499.7565687412,0.3764966108685743,0.9964735517784694
Kapisa,0.322,0.045,1.563,80,168,0.231,0.412,32.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",639963.0513,94540.30448,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.29946,10.508099999999999,8.406479999999998,12.60972,0.681584229390681,0.9729412016311431,64437.18057536115,91982.15744334535,False,False,0.2737,11.181885,13245.85298008384,46360.48543029344,9.252600000000001,11.777549999999998,0.591584229390681,0.7725842293906809,0.9590562048354209,0.9839706425241426,40821.368990810246,51961.14760799312,13668.103400644735,32.5,66226.45540188467,0.7005102825313501,0.9999726778508051
Parwan,0.494,0.055,2.432,147,203,0.385,0.604,49.4,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",968403.9841,144781.6596,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.45942,8.1087,6.486960000000001,9.730440000000002,0.509584229390681,0.9426620100460265,73778.4504371699,136480.1702563356,False,False,0.4199,9.142395,15653.213909313605,54786.248682597616,6.5742,9.62925,0.399584229390681,0.618584229390681,0.9117099328983321,0.9636018839328312,44418.43403864161,65059.81046615401,14960.82430863483,39.25,78241.46114553859,0.5404100309507612,0.999698353286259
Wardak,0.572,0.043,1.257,99,171,0.487,0.657,57.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",872010.359,126770.6025,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.53196,7.0206,5.61648,8.42472,0.43158422939068103,0.9221097115432035,54712.19278935484,116896.40370343311,False,False,0.48619999999999997,8.217509999999999,11866.742558819999,41533.598955869995,5.834849999999999,8.206349999999999,0.34658422939068095,0.5165842293906809,0.8909849337789686,0.9442399411261053,34518.747666532494,48548.45024520749,10741.694987703015,42.5,59279.37596242081,0.467611376718201,0.9991010552329829
Logar,0.417,0.034,1.044,85,218,0.348,0.485,41.7,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",739711.557,109088.8902,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,3,5.8-8.5,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.38781,9.18285,7.34628,11.01942,0.586584229390681,0.9581734908944625,63989.82259305161,104526.0827407367,False,False,0.35445,10.0554225,13356.625538307599,46748.1893840766,8.234250000000001,10.1454,0.5185842293906809,0.6555842293906811,0.9446839045280645,0.9692829697064892,41919.042392703,51648.3532429704,13283.42736484299,35.5,66775.25685708609,0.6121178493489349,0.9998971156701738
Nangarhar,0.562,0.051,2.02,366,193,0.46,0.663,56.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",3888348.785,603843.9525,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.5226600000000001,7.160099999999998,5.7280799999999985,8.592119999999998,0.44158422939068087,0.9250937055153161,266647.9664369354,558612.2395712396,False,False,0.4777,8.336085,57647.77445726999,201767.21060044496,5.751149999999999,8.583,0.3405842293906809,0.5435842293906811,0.8883029378229076,0.9499899150483764,162063.86687961748,241863.65673435002,52606.05756272734,47.5,288012.6617236167,0.47696538241577685,0.999218664220122
Laghman,0.48,0.051,2.209,131,209,0.377,0.583,48.0,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1034728.302,164086.5556,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,4,8.6-13.6,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.4464,8.304,6.6432,9.9648,0.5235842293906809,0.9457807611825886,85913.13276719712,155189.90745519713,False,False,0.408,9.3084,18167.663436032,63586.82202611199,6.8671500000000005,9.740849999999998,0.4205842293906811,0.6265842293906809,0.9186872925245866,0.9648812414584163,52584.3262134652,74589.31783875878,17503.965417640415,39.0,90814.78633771362,0.5534565949394188,0.9997519649066507
Panjshir,0.612,0.046,0.959,11,108,0.52,0.704,61.2,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",250302.4839,36687.53036,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,2,3.2-5.7,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.56916,6.4626,5.1700800000000005,7.75512,0.391584229390681,0.9088855013245776,14366.258304267812,33344.76442360926,False,False,0.5202,7.7432099999999995,3161.2911160604795,11064.518906211679,5.179200000000001,7.7459999999999996,0.299584229390681,0.48358422939068096,0.867655900691268,0.9364528067209159,8867.22933789056,13261.808474532798,2761.293326720077,40.5,15780.534862524768,0.43013347335393576,0.998423283805328
Baghlan,0.439,0.051,1.513,163,145,0.337,0.541,43.9,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",1963081.357,344540.7933,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.40827,8.87595,7.100759999999999,10.65114,0.564584229390681,0.9541247349140335,194522.2982789344,328734.8930744333,False,False,0.37315,9.7945575,40775.0247238818,142712.5865335863,7.453049999999999,10.29885,0.4625842293906809,0.6665842293906811,0.9309964968516533,0.9708621293503852,119834.38877687968,165590.7842902929,40136.84673103806,39.75,203845.60521486198,0.5916443253712738,0.9998601175860833
Bamyan,0.887,0.053,3.458,50,126,0.782,0.993,88.7,"Afghanistan MICS 2022-23 Survey Findings Report, Appendix C, Tables SE.4-SE.37, indicator TC.10",515908.7672,69941.8758,OCHA/HDX Afghanistan subnational population statistics used in the audited analysis,1,0.6-3.1,,"WHO Afghanistan Infectious Disease Outbreaks Situation Report, Epidemiological Week 14-2025, Figure 3",0.82491,2.6263499999999995,2.1010799999999996,3.1516199999999994,0.11658422939068099,0.6658531577513337,8154.119692281719,46571.018860481585,False,False,0.75395,4.4823975,2449.2246067643996,8572.286123675398,1.1476499999999996,4.0911,0.010584229390680983,0.22158422939068098,0.13833785636754656,0.8124375940114432,3745.877042220598,13353.1630439844,1012.111656821262,89.5,11116.755809589273,0.15894277473166188,0.9078517038076233
