province,vary,latent_days,infectious_days,peak_infectious,peak_day,incident_infections_after_introduction,attack_rate_total_u5,attack_rate_initial_susceptible
Uruzgan,latent,6.0,4.0,31478.12500015922,24.75,121162.68145691206,0.9200114726818246,0.9999989846588773
Uruzgan,latent,7.0,4.0,28753.46039293534,26.75,121162.6814569117,0.9200114726818218,0.9999989846588743
Uruzgan,latent,8.0,4.0,26489.845296292013,28.75,121162.68145691136,0.9200114726818193,0.9999989846588715
Uruzgan,infectious,8.0,3.0,21971.297875277494,25.0,121162.68145691068,0.9200114726818142,0.9999989846588658
Uruzgan,infectious,8.0,4.0,26489.845296292013,28.75,121162.68145691136,0.9200114726818193,0.9999989846588715
Uruzgan,infectious,8.0,5.0,30324.498922717557,32.0,121162.68145691192,0.9200114726818235,0.999998984658876
Paktika,latent,6.0,4.0,20317.818480874852,25.25,79367.59062614653,0.8483967886841202,0.9999970275145844
Paktika,latent,7.0,4.0,18555.493652022556,27.25,79367.59062614597,0.8483967886841143,0.9999970275145774
Paktika,latent,8.0,4.0,17092.554986208714,29.25,79367.59062614548,0.848396788684109,0.9999970275145712
Paktika,infectious,8.0,3.0,14168.657656554986,25.5,79367.59062614446,0.8483967886840981,0.9999970275145584
Paktika,infectious,8.0,4.0,17092.554986208714,29.25,79367.59062614548,0.848396788684109,0.9999970275145712
Paktika,infectious,8.0,5.0,19568.881587713837,32.5,79367.5906261463,0.8483967886841177,0.9999970275145815
Helmand,latent,6.0,4.0,104487.23699714393,31.5,422051.3256179941,0.7256346779073028,0.9999812542953466
Helmand,latent,7.0,4.0,95402.86095147561,34.0,422051.32561798324,0.7256346779072841,0.9999812542953207
Helmand,latent,8.0,4.0,87849.09739386712,36.5,422051.3256179737,0.7256346779072678,0.9999812542952982
Helmand,infectious,8.0,3.0,72768.38449597408,31.75,422051.32561795524,0.725634677907236,0.9999812542952544
Helmand,infectious,8.0,4.0,87849.09739386712,36.5,422051.3256179737,0.7256346779072678,0.9999812542952982
Helmand,infectious,8.0,5.0,100632.67130386783,40.5,422051.3256179896,0.7256346779072951,0.9999812542953358
Kabul,latent,6.0,4.0,74237.42768681636,49.75,378499.7565689503,0.3764966108687823,0.9964735517790199
Kabul,latent,7.0,4.0,67680.07059379447,54.0,378499.7565688243,0.37649661086865693,0.9964735517786881
Kabul,latent,8.0,4.0,62227.44998006645,58.0,378499.7565687412,0.3764966108685743,0.9964735517784694
Kabul,infectious,8.0,3.0,51304.78080052638,51.0,378499.75656863075,0.3764966108684644,0.9964735517781785
Kabul,infectious,8.0,4.0,62227.44998006645,58.0,378499.7565687412,0.3764966108685743,0.9964735517784694
Kabul,infectious,8.0,5.0,71455.98880880456,64.25,378499.75656889385,0.3764966108687261,0.9964735517788712
Herat,latent,6.0,4.0,21746.00450817702,65.75,143073.69582066714,0.24497448258350113,0.9746415412371481
Herat,latent,7.0,4.0,19805.72457567765,71.5,143073.69582099575,0.2449744825840638,0.9746415412393866
Herat,latent,8.0,4.0,18190.49808616836,77.0,143073.69582110993,0.24497448258425927,0.9746415412401643
Herat,infectious,8.0,3.0,14956.330399146294,68.25,143073.69581779226,0.24497448257857868,0.9746415412175639
Herat,infectious,8.0,4.0,18190.49808616836,77.0,143073.69582110993,0.24497448258425927,0.9746415412401643
Herat,infectious,8.0,5.0,20923.778590146136,85.25,143073.69582080882,0.2449744825837437,0.9746415412381132
Bamyan,latent,6.0,4.0,1211.9186851261736,76.0,11116.755810385059,0.1589427747430397,0.9078517038726113
Bamyan,latent,7.0,4.0,1102.8972689458024,82.75,11116.75581025727,0.15894277474121263,0.9078517038621753
Bamyan,latent,8.0,4.0,1012.111656821262,89.5,11116.755809589273,0.15894277473166188,0.9078517038076233
Bamyan,infectious,8.0,3.0,830.3267039616906,79.75,11116.75581008431,0.15894277473873972,0.9078517038480506
Bamyan,infectious,8.0,4.0,1012.111656821262,89.5,11116.755809589273,0.15894277473166188,0.9078517038076233
Bamyan,infectious,8.0,5.0,1165.820886024045,98.5,11116.755806078872,0.15894277468147164,0.9078517035209458
