Province,Total population (2026),Under-five population,MCV1 coverage % (95% CI),Rcov (95% CI),3.5-yr upper-bound unprotected,Preferential SIA reach % (95% CI),Random SIA reach % (95% CI),Preferential children needing SIA,Random children needing SIA,Preferential reach category / robust
NATIONAL / aggregate,"48,595,633","8,146,036",51.2 (49.1-53.2),7.95 (7.69-8.20),"3,020,600",49.8 (48.0-51.6),92.4 (91.0-93.1),"4,056,042","7,530,648",40–<60% / Yes
Uruzgan,"644,804","131,697",8.6 (1.7-15.5),13.80 (12.84-14.76),"84,800",91.8 (84.9-98.7),99.7 (99.2-100.2),"120,843","131,348",≥80% / Yes
Paktika,"560,510","93,550",16.3 (11.2-21.5),12.73 (12.00-13.44),"55,600",84.1 (78.9-89.2),99.1 (98.6-99.5),"78,637","92,687",≥80% / No
Nuristan,"307,892","50,179",20.7 (13.0-28.4),12.11 (11.04-13.19),"28,400",79.7 (72.0-87.4),98.6 (97.8-99.4),"39,972","49,501",60–<80% / No
Ghor,"1,075,241","199,189",27.1 (19.0-35.2),11.22 (10.09-12.35),"104,300",73.3 (65.2-81.4),97.9 (96.9-98.8),"145,923","195,091",60–<80% / No
Badghis,"834,594","153,212",27.9 (20.2-35.6),11.11 (10.03-12.18),"79,400",72.5 (64.8-80.2),97.8 (96.8-98.7),"111,015","149,913",60–<80% / No
Zabul,"539,247","110,316",28.6 (20.7-36.5),11.01 (9.91-12.11),"56,700",71.8 (63.9-79.7),97.8 (96.7-98.6),"79,161","107,846",60–<80% / Yes
Helmand,"2,862,520","581,631",29.5 (21.0-38.0),10.88 (9.70-12.07),"295,400",70.9 (62.4-79.4),97.6 (96.4-98.6),"412,134","567,952",60–<80% / Yes
Kapisa,"639,963","94,540",32.2 (23.1-41.2),10.51 (9.25-11.78),"46,400",68.2 (59.2-77.3),97.3 (95.9-98.4),"64,437","91,982",60–<80% / No
Kandahar,"2,222,610","432,706",32.4 (28.0-36.8),10.48 (9.87-11.09),"211,600",68.0 (63.6-72.4),97.3 (96.6-97.8),"294,060","420,880",60–<80% / Yes
Paktia,"1,164,502","195,347",37.9 (30.5-45.3),9.71 (8.68-10.75),"88,500",62.5 (55.1-69.9),96.5 (95.1-97.5),"122,011","188,425",60–<80% / No
Jowzjan,"738,468","111,879",39.1 (30.6-47.6),9.55 (8.36-10.73),"49,800",61.3 (52.8-69.8),96.3 (94.7-97.5),"68,535","107,697",60–<80% / No
Ghazni,"1,533,903","257,268",39.3 (28.6-50.0),9.52 (8.02-11.01),"114,300",61.1 (50.4-71.8),96.2 (94.1-97.8),"157,084","247,567",60–<80% / No
Logar,"739,712","109,089",41.7 (34.8-48.5),9.18 (8.23-10.15),"46,700",58.7 (51.9-65.6),95.8 (94.5-96.9),"63,990","104,526",40–<60% / No
Khost,"1,353,165","227,388",42.2 (34.7-49.8),9.11 (8.05-10.16),"96,700",58.2 (50.6-65.7),95.7 (94.2-96.9),"132,245","217,674",40–<60% / No
Kunduz,"1,436,180","252,184",43.3 (34.6-52.1),8.96 (7.73-10.17),"105,400",57.1 (48.3-65.8),95.5 (93.6-97.0),"143,892","240,901",40–<60% / No
Baghlan,"1,963,081","344,541",43.9 (33.7-54.1),8.88 (7.45-10.30),"142,700",56.5 (46.3-66.7),95.4 (93.1-97.1),"194,522","328,735",40–<60% / No
Farah,"878,882","155,446",44.0 (28.7-59.4),8.86 (6.71-11.00),"64,300",56.4 (41.0-71.7),95.4 (91.5-97.7),"87,607","148,285",40–<60% / No
Laghman,"1,034,728","164,087",48.0 (37.7-58.3),8.30 (6.87-9.74),"63,600",52.4 (42.1-62.7),94.6 (91.9-96.5),"85,913","155,190",40–<60% / No
Badakhshan,"1,679,524","294,274",48.9 (40.0-57.7),8.18 (6.95-9.42),"112,300",51.5 (42.7-60.4),94.4 (92.1-96.1),"151,429","277,733",40–<60% / No
Parwan,"968,404","144,782",49.4 (38.5-60.4),8.11 (6.57-9.63),"54,800",51.0 (40.0-61.9),94.3 (91.2-96.4),"73,778","136,480",40–<60% / No
Kunar,"1,358,622","220,052",52.4 (40.3-64.4),7.69 (6.02-9.38),"79,000",48.0 (36.0-60.1),93.5 (89.7-96.1),"105,534","205,847",40–<60% / No
Faryab,"1,825,801","283,605",55.7 (45.1-66.3),7.23 (5.75-8.71),"95,700",44.7 (34.1-55.3),92.7 (88.8-95.2),"126,654","262,772",40–<60% / No
Nangarhar,"3,888,349","603,844",56.2 (46.0-66.3),7.16 (5.75-8.58),"201,800",44.2 (34.1-54.4),92.5 (88.8-95.0),"266,648","558,612",40–<60% / No
Wardak,"872,010","126,771",57.2 (48.7-65.7),7.02 (5.83-8.21),"41,500",43.2 (34.7-51.7),92.2 (89.1-94.4),"54,712","116,896",40–<60% / No
Sar-e Pul,"868,072","135,844",57.5 (45.9-69.1),6.98 (5.36-8.60),"44,200",42.9 (31.3-54.5),92.1 (87.5-95.0),"58,221","125,139",40–<60% / No
Nimroz,"433,175","81,731",59.2 (48.6-69.9),6.74 (5.25-8.22),"25,700",41.2 (30.5-51.8),91.6 (87.0-94.4),"33,639","74,847",40–<60% / No
Panjshir,"250,302","36,688",61.2 (52.0-70.4),6.46 (5.18-7.75),"11,100",39.2 (30.0-48.4),90.9 (86.8-93.6),"14,366","33,345",<40% / No
Balkh,"2,437,337","354,606",61.2 (52.7-69.8),6.46 (5.26-7.65),"106,900",39.2 (30.6-47.7),90.9 (87.1-93.5),"138,858","322,296",<40% / No
Samangan,"662,519","102,739",62.9 (49.8-76.1),6.23 (4.38-8.05),"29,800",37.5 (24.3-50.6),90.3 (83.0-94.2),"38,485","92,727",<40% / No
Kabul,"5,995,339","1,005,320",66.9 (61.4-72.5),5.67 (4.89-6.43),"265,900",33.5 (27.9-39.0),88.6 (85.5-90.8),"336,364","890,253",<40% / Yes
Takhar,"1,859,589","326,625",69.3 (60.6-78.0),5.33 (4.12-6.55),"81,300",31.1 (22.4-39.8),87.4 (81.4-91.1),"101,444","285,349",<40% / Yes
Daykundi,"820,911","110,929",73.5 (62.4-84.5),4.75 (3.21-6.30),"24,600",26.9 (15.9-38.0),84.9 (74.1-90.4),"29,794","94,150",<40% / Yes
Herat,"3,629,768","584,035",80.5 (70.2-90.7),3.77 (2.35-5.21),"102,800",19.9 (9.7-30.2),79.0 (61.7-86.9),"115,980","461,429",<40% / Yes
